id,protocol,measurement,mode,parameter,units,avg,std,instance_1,instance_2
4-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.439648,0.09695097,1.508203,1.371094
13-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-33.957355,1.890667,-35.294258,-32.620451
13-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-21.123079,4.159468,-24.064267,-18.181891
13-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,160.963209,11.344004,152.941786,168.984631
13-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,358.82496,3.781335,361.498767,356.151153
13-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.531055,0.09695097,1.4625,1.599609
13-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.89668,0.09695097,1.828125,1.965234
13-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,1.988086,0.03231699,2.010938,1.965234
13-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,0.936914,0.03231699,0.914063,0.959766
13-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,2.308008,0.03231699,2.285156,2.330859
13-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,2.376563,0.258536,2.559375,2.19375
9-F,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-18.181891,0.756267,-17.647129,-18.716652
9-F,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-12.032134,0.378133,-12.299514,-11.764753
9-F,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,258.774691,72.365501,309.944828,207.604555
9-F,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,339.184906,48.243668,373.298331,305.071482
9-F,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.074023,0.09695097,1.005469,1.142578
9-F,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.645312,0.06463398,1.599609,1.691016
9-F,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.062109,0.129268,3.153516,2.970703
9-F,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.965234,0.129268,2.056641,1.873828
9-F,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.508203,0.06463398,1.4625,1.553906
9-F,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.713867,0.03231699,1.736719,1.691016
9-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-18.984033,0.378133,-19.251414,-18.716652
9-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-12.834276,1.512534,-13.903799,-11.764753
9-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,239.687791,51.777453,203.075603,276.299979
9-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,327.557043,3.45183,329.997855,325.11623
9-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.233984,0.129268,1.142578,1.325391
9-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.416797,0.129268,1.325391,1.508203
9-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.450586,0.09695097,3.519141,3.382031
